0,217
1,119
2,115
3,252
4,102
5,184
6,103
7,207
8,73
9,113
10,70
11,79
12,130
13,178
14,153
15,3
16,176
17,91
18,127
19,196
20,85
21,7
22,200
23,150
24,149
25,172
26,218
27,37
28,117
29,162
30,147
31,131
32,215
33,225
34,40
35,236
36,133
37,203
38,53
39,47
40,9
41,14
42,25
43,2
44,33
45,83
46,6
47,191
48,227
49,93
50,82
51,81
52,144
53,141
54,23
55,240
56,242
57,145
58,188
59,19
60,84
61,100
62,49
63,239
64,108
65,118
66,222
67,229
68,58
69,155
70,94
71,51
72,126
73,56
74,12
75,223
76,224
77,248
78,193
79,112
80,254
81,138
82,88
83,167
84,168
85,179
86,31
87,109
88,26
89,52
90,173
91,36
92,89
93,238
94,185
95,201
96,110
97,38
98,244
99,161
100,20
101,143
102,59
103,194
104,48
105,159
106,66
107,195
108,246
109,74
110,55
111,120
112,210
113,174
114,15
115,154
116,151
117,181
118,142
119,18
120,104
121,124
122,214
123,77
124,234
125,253
126,64
127,95
128,250
129,111
130,41
131,101
132,216
133,50
134,86
135,160
136,62
137,78
138,39
139,107
140,192
141,230
142,71
143,175
144,182
145,45
146,65
147,134
148,237
149,140
150,11
151,125
152,190
153,21
154,255
155,22
156,116
157,10
158,226
159,247
160,54
161,97
162,122
163,114
164,28
165,243
166,204
167,132
168,61
169,148
170,169
171,197
172,46
173,75
174,0
175,249
176,213
177,136
178,67
179,206
180,99
181,128
182,186
183,24
184,32
185,164
186,1
187,43
188,177
189,60
190,42
191,8
192,235
193,57
194,208
195,170
196,72
197,69
198,87
199,146
200,245
201,123
202,105
203,68
204,221
205,189
206,80
207,44
208,121
209,98
210,241
211,35
212,251
213,90
214,187
215,106
216,158
217,209
218,137
219,34
220,29
221,171
222,30
223,198
224,165
225,232
226,163
227,183
228,156
229,152
230,63
231,92
232,139
233,231
234,212
235,5
236,4
237,202
238,27
239,96
240,17
241,16
242,233
243,211
244,76
245,228
246,205
247,135
248,220
249,129
250,13
251,157
252,180
253,199
254,166
255,219
